"","Year","Population","Subrigion","RiverBasin","logspawners","logrecruits","spawn.error","rec.error","SummerSST","WinterSST","MarineCompetitorsIndex","IceConcentrationIndex","BodySize","Uwind","RiverIceBreakup","max5dprcp_stand","maxq_spawn","mean_swe_icu","mean_swe_rear","medq_rear","mnprcp_rear_stand","maxDaily_spawn_stand","maxDaily_migrate","cdd_rear"
"626",1986,"UprLksMain","Yukon (CA)","Yukon",8.09017137148862,10.4358569946564,0.159611196196455,0.172618635446875,-0.291208908514641,-0.346118634385869,-1.29574183544293,0.0441190744952505,0.223767349258781,0.533319712200663,-0.851150873243988,-0.568010629251923,1.1902798505763,-0.246883612777924,-0.925094410683599,-1.04066061831048,-0.122411993842131,0.209860333130102,-1.01780100454122,0.346854741201468
"627",1987,"UprLksMain","Yukon (CA)","Yukon",7.62189070062206,8.0217402376464,0.213476963305278,0.721748273431711,1.27449466634752,-0.168182842848829,-1.11856755022012,-0.333856260632496,2.13326745795133,2.00961041486733,-1.24810015942056,0.448791074431345,0.102970635232572,-0.925094410683599,-0.197349055763398,1.52730582963897,0.877583089534936,0.346854741201468,-0.572342540546026,-1.79035005279181
"628",1988,"UprLksMain","Yukon (CA)","Yukon",7.21067497820068,9.30047690819122,0.2287386369104,0.491624933590245,0.683777694335811,-0.450256781927279,-1.1231596681299,-0.315857451991981,1.22934600213327,0.183154662867329,-1.04962551633227,0.278361130497783,1.88670518223764,-0.197349055763398,0.154458440089116,-1.0585375346148,-0.287391947237668,-1.79035005279181,-0.27995769561566,-1.33351283751995
"629",1989,"UprLksMain","Yukon (CA)","Yukon",6.31054139338639,10.2197249263831,0.287062670237791,0.201504010202942,2.25295097241096,-0.319203976842451,-1.16353841061299,0.0351196616255506,2.07711734333032,1.90560269420066,-0.851150873243988,-1.19035426561443,-0.911521013432289,0.154458440089116,1.3511688835961,-0.346615632378198,-0.051930958150206,-1.33351283751995,0.816478065386317,-1.10066831815707
"630",1990,"UprLksMain","Yukon (CA)","Yukon",6.98453805480623,7.56450210322772,0.242354671784281,0.864502603062808,-0.481175159425894,-0.53505120231723,-0.409177252447506,0.755072676802479,0.605303194768709,1.41279300086733,0.538171628374003,0.0234762198805313,-0.39073110976719,1.3511688835961,0.506610951602017,-0.149969553030718,1.54121698825635,-1.10066831815707,1.41293883130585,-1.08010883062611
"631",1991,"UprLksMain","Yukon (CA)","Yukon",8.90757826924445,10.0920170913858,0.128289214214992,0.140711795220091,0.101734980356583,0.268640913441283,0.23967891272426,-0.459848028209116,0.519564766012831,1.76418042220066,-1.24810015942056,0.175308228611147,-0.570735673785663,0.506610951602017,-0.332245264911222,0.972595464295822,-0.557210675476901,-1.08010883062611,1.99009219907468,0.194608597494601
"632",1992,"UprLksMain","Yukon (CA)","Yukon",9.08198345888736,4.65307924905058,0.131146754401549,0.882265631018428,0.0427500257357361,-0.840046133157339,0.662912275127818,-0.441849219568601,-1.06189275548094,1.29914490420066,-0.851150873243988,0.107226011953944,1.47543261849317,-0.332245264911222,-0.832641432183437,0.384760561130747,-0.212454953052318,0.194608597494601,-1.04946168870168,1.29850405488087
"633",1993,"UprLksMain","Yukon (CA)","Yukon",8.047458450074,9.44315002807539,0.134750226613716,0.217935636534878,0.348951334282187,0.768520328259355,0.87285227026053,0.521087951189696,-0.821515927688113,-1.330623288466,-0.652676230155703,-0.357243312655148,0.578322493611455,-0.832641432183437,-0.449963537318127,-0.890284204691821,-0.848534362958602,1.29850405488087,0.759027157682283,0.979616195706664
"634",1994,"UprLksMain","Yukon (CA)","Yukon",8.34340605797037,8.15743792121362,0.128281636169208,0.562381842979358,-1.11786569900973,-0.837131324956434,0.379401206566278,-0.927817480334625,0.891616251382732,-0.487292726466005,0.339696985285719,-0.534094902769405,-0.497044578162341,-0.449963537318127,-0.49863220385429,-0.581381522659689,-1.02683522800639,0.979616195706664,0.280687272637224,1.07228250823563
"635",1995,"UprLksMain","Yukon (CA)","Yukon",9.00998730945902,9.97903285443436,0.119704100821217,0.222767743547563,-0.0535342384247613,-0.972404923734779,0.1332784847373,0.431093827892345,1.664572406684,0.651356856200662,-0.255726943979134,-0.367506931153663,-0.772876721405115,-0.49863220385429,-0.585046361785944,-0.612666210318907,-0.949277549203688,1.07228250823563,-0.340179852496756,0.573867558554951
"636",1996,"UprLksMain","Yukon (CA)","Yukon",8.55158422454345,8.57712168738471,0.099647497542899,0.359354823308357,-1.5316278071589,-0.690993441065626,-0.26192409142034,0.773071539439472,0.837133129229039,1.97658109686733,-0.255726943979134,-1.28635791974107,-0.87569495554748,-0.585046361785944,-0.320190815362695,-0.588742605843819,-0.544325763168326,0.573867558554951,-0.317690117489458,0.912753683764097
"637",1997,"UprLksMain","Yukon (CA)","Yukon",8.81969518435819,8.18028328098371,0.120413659416989,0.553902636306922,-1.98702635386396,-1.61212961452942,-0.38443950400784,0.935060923397181,0.225062571446368,-0.790827154799338,0.538171628374003,-0.405459224977639,-0.368885988893524,-0.320190815362695,-1.14186734863616,-0.81509599788249,-1.65468295931139,0.912753683764097,-0.495235019811871,0.864278297624955
"638",1998,"UprLksMain","Yukon (CA)","Yukon",7.365810634034,9.93725239435574,0.160061801625034,0.155416897878251,-0.154155631601498,1.75068839231941,-0.105968146962429,0.692076793014169,-0.535231890615293,-0.194070259132671,-0.0572523008908502,-0.612806593745337,-0.860840116766893,-1.14186734863616,-0.0301977350542227,-0.195187635447518,-0.668802908647148,0.864278297624955,-0.0134084974525434,-1.06510602216157
"639",1999,"UprLksMain","Yukon (CA)","Yukon",8.08349933636664,9.22856970774651,0.133151975042228,0.108819207116753,-0.091700973767662,-0.934909890968597,-0.116923799409464,-1.12580458866638,0.356816740746888,0.439467589533995,0.538171628374003,-0.769149184281286,-0.0551886214997431,-0.0301977350542227,-0.665274279905658,3.08049438149046,0.547638807531344,-1.06510602216157,0.902869039905972,0.223842636826608
"640",2000,"UprLksMain","Yukon (CA)","Yukon",8.28440048894578,8.42865057618817,0.115738098617561,0.184735312920005,-0.227019399074309,1.23874207921508,0.226912612046073,-0.369853904911765,-0.850920666693149,-0.705744345466004,1.33207020072714,-1.14787541220167,2.6850750326844,-0.665274279905658,-0.433934093188519,1.59513278501084,-0.276981025856029,0.223842636826608,-1.64922556328626,0.500193574716145
"641",2001,"UprLksMain","Yukon (CA)","Yukon",9.52880053209291,6.5754615485501,0.191649012801584,0.681575797572316,0.0635682450136825,0.276220579522157,0.39519184569733,-1.08980697228529,0.194985907497199,0.153704484533995,-0.851150873243988,-0.60630125629949,1.62631041681759,-0.433934093188519,-1.12232802074787,-0.932873328828575,-0.962963867417604,0.500193574716145,-1.66028591696985,0.799089263284526
"642",2002,"UprLksMain","Yukon (CA)","Yukon",8.29937200634212,9.10550350872676,0.135861069335099,0.0744343415697199,-0.0717501802929644,1.04013764770799,0.358632698087328,-0.94581628897514,-0.660071922216195,0.742252827200662,-0.255726943979134,-1.11188333429991,-1.20249926497672,-1.12232802074787,-0.58803685678525,-1.41239531910906,-1.44094067088434,0.799089263284526,1.335745584495,0.644964780948351
"643",2003,"UprLksMain","Yukon (CA)","Yukon",8.46808028080308,7.22789916159934,0.109045858514452,0.177350495642877,-0.678948242566377,-0.734980546642914,0.34284973139699,-1.12580458866638,0.890226185095998,0.914348523200662,-1.24810015942056,-1.24318447491192,-1.14075012651083,-0.58803685678525,-0.0765219056153584,0.0240674851083627,-1.14356139158655,0.644964780948351,-0.314906834942305,-0.82368082457112
"644",2004,"UprLksMain","Yukon (CA)","Yukon",8.89744159602273,7.44052399982704,0.110269416391118,0.166816272722922,0.580554023749331,-0.846140732122867,0.15124071034945,-0.270860376844186,1.17028788523134,-0.311288038799338,1.13359555763886,-0.576490301779186,0.362491871708172,-0.0765219056153584,-0.824274502467638,0.304314437761323,-0.4437817507293,-0.82368082457112,1.6511062643532,1.28590864665775
"645",2005,"UprLksMain","Yukon (CA)","Yukon",8.64063803145008,9.22142772265791,0.020450693939338,0.0457198337437143,0.957016822358847,-1.121271254463,-0.0736804633396484,0.404095588383304,0.356061510862617,-2.12774729713267,-0.255726943979134,-0.920451977022629,0.127146098687255,-0.824274502467638,-0.538937150944531,0.582458392043576,-0.232077056609802,1.28590864665775,-0.290813997742987,0.584262769806071
"646",2006,"UprLksMain","Yukon (CA)","Yukon",7.72386900381104,8.10870583422105,0.0342328123008279,0.103423856171026,0.949209990129617,-1.08515500459704,0.394201158437261,1.8440016151374,0.0259280106178231,1.04211942386733,-0.255726943979134,0.232214714315925,0.603080496108268,-0.538937150944531,1.97285738706799,0.422091768707408,1.13984952606372,0.584262769806071,-0.13884372181999,0.411030882170974
"647",2007,"UprLksMain","Yukon (CA)","Yukon",7.14834444346837,7.82229736611279,0.0351288430236442,0.100428478667443,-0.195792070157389,-0.754324273794372,0.22159263918665,2.08698574552041,-1.46219568097235,-1.12853920413267,-0.255726943979134,0.215975458163783,0.735025682357183,1.97285738706799,1.87971499395178,-0.14786638640668,0.47537116369711,0.411030882170974,1.27479016023522,0.329742180832254
"648",2008,"UprLksMain","Yukon (CA)","Yukon",8.22921426871179,8.70252499091766,0.0248413678512315,0.0867734096054636,2.09507947621987,-0.842695958794525,0.244546513241457,1.92499646775577,-0.120712933158191,0.910072247867329,-1.24810015942056,1.70965924574073,-0.354322326427757,1.87971499395178,1.76347262326012,-0.108957803861992,-0.109932596368118,0.329742180832254,-0.149360996025137,0.60561317045557
"649",2009,"UprLksMain","Yukon (CA)","Yukon",7.31741246897127,8.46651146186765,0.0297802129365946,0.101699023923935,-0.169769296059958,-1.79348251637991,0.450328683955679,0.440093231762632,0.0700551536148946,-0.441855231466004,0.339696985285719,0.0399902955640329,-0.429178686547835,1.76347262326012,0.00208572734032729,0.193898189999369,0.200909349065053,0.60561317045557,0.266153235846277,-1.01685032364631
"650",2010,"UprLksMain","Yukon (CA)","Yukon",7.80387994061483,8.07990034574374,0.027017844580516,0.123538069345226,0.122553199634528,-1.38975246159157,0.776374563356984,2.80693873189922,-1.06848763504286,0.035055438867329,-0.851150873243988,0.242335878953224,-0.0106242915704763,0.00208572734032729,0.114729100778453,0.178387252020429,0.498218034261123,-1.01685032364631,-0.43256947912348,-0.898918443507506
"651",2011,"UprLksMain","Yukon (CA)","Yukon",8.45573493221728,8.46296381946298,0.0196699555668487,0.0658954947962638,0.656020068631884,0.400999704018723,0.869724828731911,1.3940309716524,-0.957061749944225,-0.677629351132671,1.92749412999199,0.403779763336786,-0.625494343745976,0.114729100778453,2.80403972158106,1.42372504165847,1.74408666665425,-0.898918443507506,-1.10399855855731,-2.56559878417024
"652",2012,"UprLksMain","Yukon (CA)","Yukon",7.71358907053274,8.22820399527762,0.0349420803092366,0.0897869404511658,0.684645120139059,1.02635855439462,1.28723628360689,-1.1078057809258,-0.11427724685083,0.789675236200662,-0.652676230155703,0.992025689589912,1.56747378714987,2.80403972158106,1.03147673735497,-0.225157759840049,1.49659276592131,-2.56559878417024,-1.03730718710496,-0.961840134257821
"653",2013,"UprLksMain","Yukon (CA)","Yukon",7.67792533632902,8.47985445992665,0.0256237339168875,0.185712756790216,1.04722910589661,1.5760910898956,1.45963112202289,-1.11680518479609,-0.680329879207793,1.93087840120066,-0.255726943979134,2.45246116543159,-0.297816225753544,1.03147673735497,-0.339337502411096,0.140267441086419,1.94909867253116,-0.961840134257821,0.638204630964862,-1.17546745189842
"654",2014,"UprLksMain","Yukon (CA)","Yukon",8.82109237033115,8.59258782175283,0.0447514638133733,0.503279950319792,3.02322508569495,0.909103769949138,1.50121983002607,-1.12580458866638,-1.03651368927032,1.79354898186733,-2.43894801795026,1.34853484520661,-0.325778099775831,-0.339337502411096,1.13071586606242,0.0119742770201487,1.95199313928669,-1.17546745189842,-0.406507356497477,0.449578445069972
"655",2015,"UprLksMain","Yukon (CA)","Yukon",8.51741061285009,9.71559112095486,0.0212016886099034,1.22501706841578,0.498148572440796,1.63648090735669,1.48911303731073,-0.432849815698314,-0.544410373113804,0.151237209867329,-0.454201587067419,2.00846500018297,-0.749866522447187,1.13071586606242,1.76844717856777,-0.601624585542712,0.750013340672607,0.449578445069972,0.628375720200499,1.15667924926227
"656",1985,"White-Donjek","Yukon (CA)","Yukon",7.97269485382387,8.4197537280258,0.243744339105692,0.627697850899879,0.0488220063584715,0.258006668136884,-1.27917654971365,-1.12580458866638,0.503640325437147,-0.335565367799338,0.736646271462287,-0.0788919175568672,-0.377388812278238,1.33646794522676,0.0439237403151839,0.248989786717367,0.299303676816307,0.0781788202206179,-0.331455328062558,0.209860333130102
"657",1986,"White-Donjek","Yukon (CA)","Yukon",8.32739679844113,9.04581309579892,0.203483889698748,0.410519328958629,-0.291208908514641,-0.346118634385869,-1.29574183544293,0.0441190744952505,0.223767349258781,0.533319712200663,-0.851150873243988,1.99987067261484,-0.470788763431638,0.0439237403151839,-0.613444333246389,-1.05461095668893,0.117913742359294,0.209860333130102,-1.01140317230312,0.346854741201468
"658",1987,"White-Donjek","Yukon (CA)","Yukon",8.04491311003416,9.95312946922834,0.200935736927812,0.286813902138788,1.27449466634752,-0.168182842848829,-1.11856755022012,-0.333856260632496,2.13326745795133,2.00961041486733,-1.24810015942056,-0.140115826196875,-1.12268458557065,-0.613444333246389,1.00076740601948,1.11193675770464,1.20376823563838,0.346854741201468,-0.562445094322199,-1.79035005279181
"659",1988,"White-Donjek","Yukon (CA)","Yukon",8.29145994150838,9.55749165953532,0.191463926198994,0.487532867812986,0.683777694335811,-0.450256781927279,-1.1231596681299,-0.315857451991981,1.22934600213327,0.183154662867329,-1.04962551633227,-0.750148831854399,0.159156914445928,1.00076740601948,0.795001060321879,-1.25290515427749,-1.29844273813769,-1.79035005279181,-0.26776321347213,-1.33351283751995
"660",1989,"White-Donjek","Yukon (CA)","Yukon",8.81200344098743,9.6640946323309,0.26795064509158,0.660518024550883,2.25295097241096,-0.319203976842451,-1.16353841061299,0.0351196616255506,2.07711734333032,1.90560269420066,-0.851150873243988,2.03173013108483,-0.946075805032391,0.795001060321879,1.23119550209854,0.0604878951825597,0.39858575486704,-1.33351283751995,0.350776202568148,-1.10066831815707
"661",1990,"White-Donjek","Yukon (CA)","Yukon",8.59944243378912,9.98630036662278,0.290429096911501,0.28827906007221,-0.481175159425894,-0.53505120231723,-0.409177252447506,0.755072676802479,0.605303194768709,1.41279300086733,0.538171628374003,-0.265878475545753,-0.577403575779403,1.23119550209854,1.33614631192586,0.513382050168785,0.725070888143177,-1.10066831815707,1.43843305930866,-1.08010883062611
"662",1991,"White-Donjek","Yukon (CA)","Yukon",8.47181888883508,8.87590789414568,0.24927495149147,0.45541392025436,0.101734980356583,0.268640913441283,0.23967891272426,-0.459848028209116,0.519564766012831,1.76418042220066,-1.24810015942056,0.00278418230539131,0.514502327992357,1.33614631192586,0.505711367527016,0.180443644341074,0.686519904218112,-1.08010883062611,2.02012066351255,0.194608597494601
"663",1992,"White-Donjek","Yukon (CA)","Yukon",8.37941513264569,9.53681093260751,0.206847573498849,0.23879824583288,0.0427500257357361,-0.840046133157339,0.662912275127818,-0.441849219568601,-1.06189275548094,1.29914490420066,-0.851150873243988,-0.248100971652302,-0.384332213922735,0.505711367527016,-0.0362562345211126,0.648026258407934,-0.482141417506475,0.194608597494601,-1.04331258935798,1.29850405488087
"664",1993,"White-Donjek","Yukon (CA)","Yukon",8.70297435606537,9.66397737538614,0.151356289344973,0.309654957359386,0.348951334282187,0.768520328259355,0.87285227026053,0.521087951189696,-0.821515927688113,-1.330623288466,-0.652676230155703,-0.572994291520819,-0.693985529197496,-0.0362562345211126,-0.246899708784932,-0.913846557166185,-1.33814083208672,1.29850405488087,0.779384120096025,0.979616195706664
"665",1994,"White-Donjek","Yukon (CA)","Yukon",8.60190770519569,9.13923236285981,0.17593937789662,0.285554003662706,-1.11786569900973,-0.837131324956434,0.379401206566278,-0.927817480334625,0.891616251382732,-0.487292726466005,0.339696985285719,-0.370529678491865,-0.467429052958494,-0.246899708784932,-0.19846646826731,-0.00438613242357531,0.174741814535504,0.979616195706664,-0.408259621748959,1.07228250823563
"666",1995,"White-Donjek","Yukon (CA)","Yukon",9.00026626897422,8.27523587739823,0.335442345438833,0.502614752633218,-0.0535342384247613,-0.972404923734779,0.1332784847373,0.431093827892345,1.664572406684,0.651356856200662,-0.255726943979134,-0.610802009696235,-0.245800187917014,-0.19846646826731,0.0194939903311231,-0.325084155684092,-0.708823849478198,1.07228250823563,0.349770684222727,0.573867558554951
"667",1996,"White-Donjek","Yukon (CA)","Yukon",8.98470318688719,7.61755591487729,0.143221896628026,0.58006091822647,-1.5316278071589,-0.690993441065626,-0.26192409142034,0.773071539439472,0.837133129229039,1.97658109686733,-0.255726943979134,0.549702443522159,1.28085225107956,0.0194939903311231,0.294260535932135,0.868353144617449,0.250674742537536,0.573867558554951,-0.305792069069782,0.912753683764097
"668",1997,"White-Donjek","Yukon (CA)","Yukon",8.45282620224149,9.70128676365117,0.16745938630538,0.190536616614604,-1.98702635386396,-1.61212961452942,-0.38443950400784,0.935060923397181,0.225062571446368,-0.790827154799338,0.538171628374003,-1.52622801876084,1.64437299594755,0.294260535932135,-0.89548676324894,-1.56931904363949,-2.1525103014374,0.912753683764097,-0.484731800929589,0.864278297624955
